assemblea,codice,status,elettori,votanti,perc_votanti,aggiornamento,sezioni_perv,sezioni,coll_uni_perv,coll_uni,sezioni_coll_uni_perv,sk_bianche,sk_nulle,sk_contestate,livello,fine_riparto
scrutiniCI,06110571000,ESERCIZIO,250,180,"72,00",Dato aggiornato al 05/03/2018 - 04:08,1,1,,,,3,6,0,C,
scrutiniCI,06110571010,ESERCIZIO,550,413,"75,09",Dato aggiornato al 05/03/2018 - 05:04,1,1,,,,6,11,0,C,
scrutiniCI,06110571030,ESERCIZIO,905,649,"71,71",Dato aggiornato al 05/03/2018 - 07:42,1,1,,,,7,21,0,C,
scrutiniCI,06110571040,ESERCIZIO,1532,1096,"71,54",Dato aggiornato al 05/03/2018 - 07:30,2,2,,,,27,42,0,C,
scrutiniCI,06110571050,ESERCIZIO,267,198,"74,15",Dato aggiornato al 05/03/2018 - 03:19,1,1,,,,0,6,0,C,
scrutiniCI,06110571060,ESERCIZIO,1442,1017,"70,52",Dato aggiornato al 05/03/2018 - 07:24,2,2,,,,20,37,0,C,
scrutiniCI,06110571090,ESERCIZIO,686,481,"70,11",Dato aggiornato al 05/03/2018 - 06:24,1,1,,,,7,27,0,C,
scrutiniCI,06110571100,ESERCIZIO,1591,1128,"70,89",Dato aggiornato al 05/03/2018 - 03:11,2,2,,,,29,48,0,C,
scrutiniCI,06110571130,ESERCIZIO,603,466,"77,28",Dato aggiornato al 05/03/2018 - 05:47,1,1,,,,10,17,0,C,
scrutiniCI,06110571200,ESERCIZIO,4791,3548,"74,05",Dato aggiornato al 05/03/2018 - 06:29,6,6,,,,65,149,0,C,
scrutiniCI,06110571270,ESERCIZIO,505,355,"70,29",Dato aggiornato al 05/03/2018 - 04:45,1,1,,,,7,16,0,C,
scrutiniCI,06110571330,ESERCIZIO,866,655,"75,63",Dato aggiornato al 05/03/2018 - 03:43,2,2,,,,13,25,0,C,
scrutiniCI,06110571350,ESERCIZIO,4131,2991,"72,40",Dato aggiornato al 05/03/2018 - 05:44,7,7,,,,59,129,0,C,
scrutiniCI,06110571410,ESERCIZIO,620,466,"75,16",Dato aggiornato al 05/03/2018 - 03:11,1,1,,,,9,15,0,C,
scrutiniCI,06110571430,ESERCIZIO,1366,991,"72,54",Dato aggiornato al 05/03/2018 - 05:41,2,2,,,,20,41,0,C,
scrutiniCI,06110571440,ESERCIZIO,737,537,"72,86",Dato aggiornato al 05/03/2018 - 03:45,1,1,,,,12,27,0,C,
scrutiniCI,06110571450,ESERCIZIO,185,119,"64,32",Dato aggiornato al 05/03/2018 - 01:37,1,1,,,,2,2,0,C,
scrutiniCI,06110571460,ESERCIZIO,537,393,"73,18",Dato aggiornato al 05/03/2018 - 04:30,1,1,,,,15,46,0,C,
scrutiniCI,06110571480,ESERCIZIO,959,749,"78,10",Dato aggiornato al 05/03/2018 - 07:14,1,1,,,,20,33,0,C,
scrutiniCI,06110571510,ESERCIZIO,502,355,"70,71",Dato aggiornato al 05/03/2018 - 04:14,1,1,,,,7,14,0,C,
scrutiniCI,06110571530,ESERCIZIO,406,297,"73,15",Dato aggiornato al 05/03/2018 - 05:11,1,1,,,,5,10,0,C,
scrutiniCI,06110571560,ESERCIZIO,1894,1557,"82,20",Dato aggiornato al 05/03/2018 - 04:34,2,2,,,,14,35,0,C,
scrutiniCI,06110571610,ESERCIZIO,2997,2156,"71,93",Dato aggiornato al 05/03/2018 - 05:50,3,3,,,,27,77,0,C,
scrutiniCI,06110571620,ESERCIZIO,791,616,"77,87",Dato aggiornato al 05/03/2018 - 05:52,1,1,,,,6,11,0,C,
scrutiniCI,06110571640,ESERCIZIO,179,122,"68,15",Dato aggiornato al 05/03/2018 - 01:43,1,1,,,,6,7,0,C,
scrutiniCI,06110571650,ESERCIZIO,1660,1086,"65,42",Dato aggiornato al 05/03/2018 - 05:44,2,2,,,,17,38,0,C,
scrutiniCI,06110571680,ESERCIZIO,91,68,"74,72",Dato aggiornato al 05/03/2018 - 02:22,1,1,,,,0,2,0,C,
scrutiniCI,06110571730,ESERCIZIO,46253,33028,"71,40",Dato aggiornato al 05/03/2018 - 08:01,61,61,,,,421,1112,3,C,
scrutiniCI,06110571740,ESERCIZIO,62,51,"82,25",Dato aggiornato al 05/03/2018 - 02:27,1,1,,,,1,5,0,C,
scrutiniCI,06110571750,ESERCIZIO,643,520,"80,87",Dato aggiornato al 05/03/2018 - 05:14,1,1,,,,6,13,0,C,
scrutiniCI,06110571780,ESERCIZIO,29858,21958,"73,54",Dato aggiornato al 05/03/2018 - 11:59,39,39,,,,336,694,1,C,
scrutiniCI,06110571820,ESERCIZIO,823,564,"68,52",Dato aggiornato al 05/03/2018 - 05:18,1,1,,,,6,17,0,C,
scrutiniCI,06110571850,ESERCIZIO,1404,1052,"74,92",Dato aggiornato al 05/03/2018 - 06:44,2,2,,,,11,30,0,C,
scrutiniCI,06110571860,ESERCIZIO,2477,1910,"77,10",Dato aggiornato al 05/03/2018 - 07:21,5,5,,,,26,53,0,C,
scrutiniCI,06120570020,ESERCIZIO,203,154,"75,86",Dato aggiornato al 05/03/2018 - 02:55,1,1,,,,1,3,0,C,
scrutiniCI,06120570040,ESERCIZIO,2627,1967,"74,87",Dato aggiornato al 05/03/2018 - 06:47,3,3,,,,20,80,3,C,
scrutiniCI,06120570050,ESERCIZIO,1208,911,"75,41",Dato aggiornato al 05/03/2018 - 06:26,2,2,,,,16,28,0,C,
scrutiniCI,06120570060,ESERCIZIO,295,222,"75,25",Dato aggiornato al 05/03/2018 - 01:04,1,1,,,,0,13,0,C,
scrutiniCI,06120570070,ESERCIZIO,545,410,"75,22",Dato aggiornato al 05/03/2018 - 03:08,1,1,,,,11,33,0,C,
scrutiniCI,06120570080,ESERCIZIO,674,507,"75,22",Dato aggiornato al 05/03/2018 - 09:26,1,1,,,,8,17,0,C,
scrutiniCI,06120570090,ESERCIZIO,1326,1054,"79,48",Dato aggiornato al 05/03/2018 - 05:13,2,2,,,,9,27,0,C,
